fecha,tipo_movimiento,categoria,importe_eur,saldo_post_movimiento,descripcion,canal
2024-02-25,Gasto,Ropa,-22.66,1187.13,Pago con tarjeta,Tarjeta
2024-02-25,Gasto,Alimentación,-44.23,1142.9,Pago con tarjeta,Tarjeta
2024-02-29,Gasto,Ocio,-20.39,1122.51,Pago con tarjeta,Tarjeta
2024-03-01,Ingreso,Salario,2068.25,3190.76,Nómina mensual,Transferencia
2024-03-01,Gasto,Alimentación,-55.08,3135.68,Pago con tarjeta,Tarjeta
2024-03-01,Gasto,Alimentación,-24.6,3111.08,Pago con tarjeta,Tarjeta
2024-03-02,Gasto,Alimentación,-39.33,3071.75,Pago con tarjeta,Tarjeta
2024-03-04,Gasto,Bizum,-91.07,2980.68,Bizum enviado,Bizum
2024-03-05,Gasto,Alquiler,-900.0,2080.68,Cargo Alquiler,Débito
2024-03-05,Gasto,Transporte,-13.26,2067.42,Pago con tarjeta,Tarjeta
2024-03-05,Gasto,Alimentación,-44.45,2022.97,Pago con tarjeta,Tarjeta
2024-03-05,Gasto,Bizum,-100.4,1922.56,Bizum enviado,Bizum
2024-03-07,Gasto,Préstamo personal,-220.0,1702.56,Cargo Préstamo personal,Débito
2024-03-08,Gasto,Restaurantes,-44.66,1657.9,Pago con tarjeta,Tarjeta
2024-03-09,Gasto,Restaurantes,-10.93,1646.97,Pago con tarjeta,Tarjeta
2024-03-09,Gasto,Alimentación,-14.11,1632.86,Pago con tarjeta,Tarjeta
2024-03-11,Gasto,Ropa,-58.85,1574.01,Pago con tarjeta,Tarjeta
2024-03-11,Gasto,Transporte,-24.78,1549.23,Pago con tarjeta,Tarjeta
2024-03-11,Gasto,Bizum,-111.71,1437.52,Bizum enviado,Bizum
2024-03-12,Gasto,Electricidad,-70.0,1367.52,Cargo Electricidad,Débito
2024-03-12,Gasto,Gas,-45.0,1322.52,Cargo Gas,Débito
2024-03-12,Gasto,Transporte,-44.18,1278.34,Pago con tarjeta,Tarjeta
2024-03-13,Gasto,Bizum,-40.91,1237.43,Bizum enviado,Bizum
2024-03-14,Gasto,Alimentación,-41.64,1195.8,Pago con tarjeta,Tarjeta
2024-03-14,Gasto,Restaurantes,-19.93,1175.87,Pago con tarjeta,Tarjeta
2024-03-15,Gasto,Internet,-55.0,1120.87,Cargo Internet,Débito
2024-03-15,Gasto,Telefonía,-35.0,1085.87,Cargo Telefonía,Débito
2024-03-15,Gasto,Transporte,-24.1,1061.77,Pago con tarjeta,Tarjeta
2024-03-17,Gasto,Alimentación,-53.59,1008.19,Pago con tarjeta,Tarjeta
2024-03-17,Gasto,Transporte,-16.57,991.62,Pago con tarjeta,Tarjeta
2024-03-18,Gasto,Seguro,-45.0,946.62,Cargo Seguro,Débito
2024-03-19,Ingreso,Ingreso extra,122.83,1069.45,Ingreso puntual,Transferencia
2024-03-20,Gasto,Streaming,-25.0,1044.45,Cargo Streaming,Débito
2024-03-20,Gasto,Salud,-50.27,994.18,Pago con tarjeta,Tarjeta
2024-03-22,Gasto,Alimentación,-22.29,971.89,Pago con tarjeta,Tarjeta
2024-03-22,Gasto,Alimentación,-53.67,918.22,Pago con tarjeta,Tarjeta
2024-03-23,Gasto,Transporte,-48.16,870.06,Pago con tarjeta,Tarjeta
2024-03-23,Gasto,Transporte,-52.31,817.75,Pago con tarjeta,Tarjeta
2024-03-24,Gasto,Restaurantes,-29.87,787.88,Pago con tarjeta,Tarjeta
2024-03-24,Gasto,Ropa,-41.25,746.63,Pago con tarjeta,Tarjeta
2024-03-26,Gasto,Alimentación,-34.73,711.91,Pago con tarjeta,Tarjeta
2024-03-26,Gasto,Ropa,-28.62,683.29,Pago con tarjeta,Tarjeta
2024-03-27,Gasto,Salud,-47.98,635.3,Pago con tarjeta,Tarjeta
2024-03-27,Gasto,Alimentación,-10.38,624.92,Pago con tarjeta,Tarjeta
2024-03-28,Gasto,Alimentación,-14.7,610.22,Pago con tarjeta,Tarjeta
2024-03-29,Gasto,Ocio,-29.41,580.81,Pago con tarjeta,Tarjeta
2024-03-29,Gasto,Salud,-34.79,546.02,Pago con tarjeta,Tarjeta
2024-03-30,Ingreso,Ingreso extra,255.59,801.61,Ingreso puntual,Transferencia
2024-03-31,Gasto,Alimentación,-26.94,774.67,Pago con tarjeta,Tarjeta
2024-03-31,Gasto,Transporte,-43.9,730.76,Pago con tarjeta,Tarjeta
2024-03-31,Gasto,Bizum,-97.94,632.83,Bizum enviado,Bizum
2024-04-01,Ingreso,Salario,2173.59,2806.42,Nómina mensual,Transferencia
2024-04-01,Gasto,Bizum,-40.46,2765.96,Bizum enviado,Bizum
2024-04-02,Gasto,Otros,-20.28,2745.68,Pago con tarjeta,Tarjeta
2024-04-03,Gasto,Alimentación,-45.09,2700.59,Pago con tarjeta,Tarjeta
2024-04-04,Gasto,Restaurantes,-28.65,2671.94,Pago con tarjeta,Tarjeta
2024-04-04,Gasto,Alimentación,-46.35,2625.59,Pago con tarjeta,Tarjeta
2024-04-05,Gasto,Alquiler,-900.0,1725.59,Cargo Alquiler,Débito
2024-04-05,Gasto,Alimentación,-54.31,1671.29,Pago con tarjeta,Tarjeta
2024-04-05,Gasto,Transporte,-43.31,1627.97,Pago con tarjeta,Tarjeta
2024-04-06,Gasto,Transporte,-38.5,1589.47,Pago con tarjeta,Tarjeta
2024-04-06,Gasto,Transporte,-27.7,1561.78,Pago con tarjeta,Tarjeta
2024-04-07,Gasto,Préstamo personal,-220.0,1341.78,Cargo Préstamo personal,Débito
2024-04-07,Gasto,Otros,-39.5,1302.28,Pago con tarjeta,Tarjeta
2024-04-08,Gasto,Salud,-12.57,1289.71,Pago con tarjeta,Tarjeta
2024-04-08,Gasto,Ropa,-10.89,1278.81,Pago con tarjeta,Tarjeta
2024-04-08,Ingreso,Ingreso extra,303.03,1581.84,Ingreso puntual,Transferencia
2024-04-10,Gasto,Alimentación,-16.89,1564.95,Pago con tarjeta,Tarjeta
2024-04-10,Gasto,Ocio,-56.33,1508.63,Pago con tarjeta,Tarjeta
2024-04-12,Gasto,Electricidad,-70.0,1438.63,Cargo Electricidad,Débito
2024-04-12,Gasto,Gas,-45.0,1393.63,Cargo Gas,Débito
2024-04-12,Gasto,Transporte,-44.78,1348.85,Pago con tarjeta,Tarjeta
2024-04-14,Gasto,Alimentación,-59.48,1289.37,Pago con tarjeta,Tarjeta
2024-04-15,Gasto,Internet,-55.0,1234.37,Cargo Internet,Débito
2024-04-15,Gasto,Telefonía,-35.0,1199.37,Cargo Telefonía,Débito
2024-04-15,Gasto,Alimentación,-32.6,1166.77,Pago con tarjeta,Tarjeta
2024-04-18,Gasto,Seguro,-45.0,1121.77,Cargo Seguro,Débito
2024-04-18,Gasto,Salud,-15.27,1106.5,Pago con tarjeta,Tarjeta
2024-04-18,Gasto,Ropa,-18.48,1088.01,Pago con tarjeta,Tarjeta
2024-04-19,Gasto,Educación,-24.44,1063.57,Pago con tarjeta,Tarjeta
2024-04-19,Gasto,Transporte,-43.52,1020.06,Pago con tarjeta,Tarjeta
2024-04-20,Gasto,Streaming,-25.0,995.06,Cargo Streaming,Débito
2024-04-20,Gasto,Ocio,-34.14,960.92,Pago con tarjeta,Tarjeta
2024-04-21,Gasto,Alimentación,-36.23,924.69,Pago con tarjeta,Tarjeta
2024-04-21,Gasto,Restaurantes,-25.31,899.38,Pago con tarjeta,Tarjeta
2024-04-24,Gasto,Transporte,-47.65,851.73,Pago con tarjeta,Tarjeta
2024-04-24,Gasto,Salud,-25.79,825.94,Pago con tarjeta,Tarjeta
2024-04-25,Gasto,Transporte,-36.07,789.87,Pago con tarjeta,Tarjeta
2024-04-25,Gasto,Restaurantes,-29.27,760.61,Pago con tarjeta,Tarjeta
2024-04-25,Gasto,Gasto extraordinario,-838.6,-77.99,Compra excepcional,Tarjeta
2024-04-26,Gasto,Alimentación,-17.44,-95.44,Pago con tarjeta,Tarjeta
2024-04-27,Gasto,Transporte,-55.42,-150.85,Pago con tarjeta,Tarjeta
2024-04-27,Gasto,Alimentación,-13.24,-164.09,Pago con tarjeta,Tarjeta
2024-04-28,Gasto,Ocio,-55.97,-220.06,Pago con tarjeta,Tarjeta
2024-04-28,Gasto,Ocio,-15.93,-235.99,Pago con tarjeta,Tarjeta
2024-04-29,Gasto,Salud,-55.36,-291.35,Pago con tarjeta,Tarjeta
2024-04-29,Gasto,Alimentación,-20.27,-311.62,Pago con tarjeta,Tarjeta
2024-04-30,Gasto,Transporte,-38.75,-350.36,Pago con tarjeta,Tarjeta
2024-04-30,Gasto,Restaurantes,-10.85,-361.21,Pago con tarjeta,Tarjeta
2024-04-30,Ingreso,Ingreso extra,186.72,-174.49,Ingreso puntual,Transferencia
2024-05-01,Ingreso,Salario,2427.84,2253.35,Nómina mensual,Transferencia
2024-05-02,Gasto,Alimentación,-55.46,2197.88,Pago con tarjeta,Tarjeta
2024-05-03,Gasto,Restaurantes,-38.19,2159.69,Pago con tarjeta,Tarjeta
2024-05-03,Gasto,Gasto extraordinario,-897.18,1262.51,Compra excepcional,Tarjeta
2024-05-05,Gasto,Alquiler,-900.0,362.51,Cargo Alquiler,Débito
2024-05-06,Gasto,Ropa,-26.17,336.34,Pago con tarjeta,Tarjeta
2024-05-07,Gasto,Préstamo personal,-220.0,116.34,Cargo Préstamo personal,Débito
2024-05-08,Gasto,Restaurantes,-28.84,87.5,Pago con tarjeta,Tarjeta
2024-05-08,Gasto,Transporte,-16.07,71.43,Pago con tarjeta,Tarjeta
2024-05-09,Gasto,Educación,-35.38,36.05,Pago con tarjeta,Tarjeta
2024-05-09,Gasto,Ropa,-58.9,-22.86,Pago con tarjeta,Tarjeta
2024-05-10,Gasto,Alimentación,-42.94,-65.8,Pago con tarjeta,Tarjeta
2024-05-10,Gasto,Bizum,-21.45,-87.25,Bizum enviado,Bizum
2024-05-11,Gasto,Ropa,-59.41,-146.66,Pago con tarjeta,Tarjeta
2024-05-11,Gasto,Transporte,-49.96,-196.62,Pago con tarjeta,Tarjeta
2024-05-12,Gasto,Electricidad,-70.0,-266.62,Cargo Electricidad,Débito
2024-05-12,Gasto,Gas,-45.0,-311.62,Cargo Gas,Débito
2024-05-12,Gasto,Educación,-8.68,-320.3,Pago con tarjeta,Tarjeta
2024-05-12,Ingreso,Ingreso extra,138.06,-182.24,Ingreso puntual,Transferencia
2024-05-13,Gasto,Ocio,-55.35,-237.59,Pago con tarjeta,Tarjeta
2024-05-13,Gasto,Transporte,-25.47,-263.05,Pago con tarjeta,Tarjeta
2024-05-13,Ingreso,Ingreso extra,345.81,82.76,Ingreso puntual,Transferencia
2024-05-14,Gasto,Transporte,-30.68,52.08,Pago con tarjeta,Tarjeta
2024-05-14,Gasto,Alimentación,-57.32,-5.24,Pago con tarjeta,Tarjeta
2024-05-15,Gasto,Internet,-55.0,-60.24,Cargo Internet,Débito
2024-05-15,Gasto,Telefonía,-35.0,-95.24,Cargo Telefonía,Débito
2024-05-15,Gasto,Restaurantes,-17.47,-112.71,Pago con tarjeta,Tarjeta
2024-05-15,Gasto,Restaurantes,-34.65,-147.36,Pago con tarjeta,Tarjeta
2024-05-16,Gasto,Salud,-59.19,-206.55,Pago con tarjeta,Tarjeta
2024-05-16,Gasto,Transporte,-16.93,-223.48,Pago con tarjeta,Tarjeta
2024-05-17,Gasto,Restaurantes,-11.49,-234.97,Pago con tarjeta,Tarjeta
2024-05-17,Gasto,Restaurantes,-33.87,-268.84,Pago con tarjeta,Tarjeta
2024-05-18,Gasto,Seguro,-45.0,-313.84,Cargo Seguro,Débito
2024-05-18,Gasto,Salud,-39.07,-352.9,Pago con tarjeta,Tarjeta
2024-05-20,Gasto,Streaming,-25.0,-377.9,Cargo Streaming,Débito
2024-05-20,Gasto,Otros,-17.59,-395.49,Pago con tarjeta,Tarjeta
2024-05-20,Gasto,Alimentación,-48.09,-443.58,Pago con tarjeta,Tarjeta
2024-05-20,Ingreso,Bizum,102.08,-341.5,Bizum recibido,Bizum
2024-05-21,Gasto,Restaurantes,-42.51,-384.01,Pago con tarjeta,Tarjeta
2024-05-21,Gasto,Otros,-46.09,-430.11,Pago con tarjeta,Tarjeta
2024-05-22,Gasto,Salud,-57.67,-487.78,Pago con tarjeta,Tarjeta
2024-05-23,Gasto,Ocio,-33.77,-521.55,Pago con tarjeta,Tarjeta
2024-05-23,Gasto,Ocio,-30.61,-552.16,Pago con tarjeta,Tarjeta
2024-05-24,Gasto,Alimentación,-13.36,-565.52,Pago con tarjeta,Tarjeta
2024-05-24,Gasto,Alimentación,-49.99,-615.5,Pago con tarjeta,Tarjeta
2024-05-25,Gasto,Transporte,-53.39,-668.9,Pago con tarjeta,Tarjeta
2024-05-25,Gasto,Ocio,-49.94,-718.84,Pago con tarjeta,Tarjeta
2024-05-26,Gasto,Transporte,-44.05,-762.88,Pago con tarjeta,Tarjeta
2024-05-26,Ingreso,Bizum,83.69,-679.19,Bizum recibido,Bizum
2024-05-27,Gasto,Educación,-9.77,-688.96,Pago con tarjeta,Tarjeta
2024-05-27,Gasto,Ocio,-23.46,-712.42,Pago con tarjeta,Tarjeta
2024-05-28,Gasto,Alimentación,-31.67,-744.09,Pago con tarjeta,Tarjeta
2024-05-28,Gasto,Transporte,-41.52,-785.6,Pago con tarjeta,Tarjeta
2024-05-29,Gasto,Ocio,-25.67,-811.28,Pago con tarjeta,Tarjeta
2024-05-30,Gasto,Ocio,-46.37,-857.65,Pago con tarjeta,Tarjeta
2024-05-31,Gasto,Salud,-9.11,-866.75,Pago con tarjeta,Tarjeta
2024-06-01,Ingreso,Salario,1951.89,1085.14,Nómina mensual,Transferencia
2024-06-02,Gasto,Restaurantes,-38.2,1046.94,Pago con tarjeta,Tarjeta
2024-06-03,Gasto,Ocio,-20.42,1026.52,Pago con tarjeta,Tarjeta
2024-06-03,Gasto,Alimentación,-26.44,1000.08,Pago con tarjeta,Tarjeta
2024-06-04,Gasto,Educación,-10.35,989.74,Pago con tarjeta,Tarjeta
2024-06-05,Gasto,Alquiler,-900.0,89.74,Cargo Alquiler,Débito
2024-06-07,Gasto,Préstamo personal,-220.0,-130.26,Cargo Préstamo personal,Débito
2024-06-09,Gasto,Alimentación,-17.69,-147.96,Pago con tarjeta,Tarjeta
2024-06-11,Gasto,Transporte,-33.54,-181.5,Pago con tarjeta,Tarjeta
2024-06-11,Gasto,Otros,-54.67,-236.17,Pago con tarjeta,Tarjeta
2024-06-12,Gasto,Electricidad,-70.0,-306.17,Cargo Electricidad,Débito
2024-06-12,Gasto,Gas,-45.0,-351.17,Cargo Gas,Débito
2024-06-12,Gasto,Transporte,-12.76,-363.92,Pago con tarjeta,Tarjeta
2024-06-12,Gasto,Salud,-21.81,-385.73,Pago con tarjeta,Tarjeta
2024-06-14,Gasto,Alimentación,-8.26,-394.0,Pago con tarjeta,Tarjeta
2024-06-14,Gasto,Ocio,-10.54,-404.54,Pago con tarjeta,Tarjeta
2024-06-15,Gasto,Internet,-55.0,-459.54,Cargo Internet,Débito
2024-06-15,Gasto,Telefonía,-35.0,-494.54,Cargo Telefonía,Débito
2024-06-16,Gasto,Salud,-26.09,-520.62,Pago con tarjeta,Tarjeta
2024-06-18,Gasto,Seguro,-45.0,-565.62,Cargo Seguro,Débito
2024-06-19,Gasto,Ocio,-17.84,-583.46,Pago con tarjeta,Tarjeta
2024-06-20,Gasto,Streaming,-25.0,-608.46,Cargo Streaming,Débito
2024-06-20,Ingreso,Bizum,100.19,-508.27,Bizum recibido,Bizum
2024-06-20,Ingreso,Ingreso extra,257.98,-250.29,Ingreso puntual,Transferencia
2024-06-22,Gasto,Transporte,-21.51,-271.8,Pago con tarjeta,Tarjeta
2024-06-23,Gasto,Alimentación,-30.48,-302.28,Pago con tarjeta,Tarjeta
2024-06-23,Gasto,Salud,-28.39,-330.67,Pago con tarjeta,Tarjeta
2024-06-24,Gasto,Alimentación,-23.65,-354.32,Pago con tarjeta,Tarjeta
2024-06-24,Gasto,Ocio,-11.5,-365.82,Pago con tarjeta,Tarjeta
2024-06-25,Gasto,Otros,-43.15,-408.97,Pago con tarjeta,Tarjeta
2024-06-25,Gasto,Restaurantes,-41.67,-450.65,Pago con tarjeta,Tarjeta
2024-06-27,Gasto,Alimentación,-59.85,-510.5,Pago con tarjeta,Tarjeta
2024-06-27,Gasto,Restaurantes,-31.47,-541.97,Pago con tarjeta,Tarjeta
2024-06-28,Gasto,Ropa,-19.96,-561.93,Pago con tarjeta,Tarjeta
2024-06-28,Gasto,Alimentación,-53.14,-615.07,Pago con tarjeta,Tarjeta
2024-06-30,Gasto,Restaurantes,-54.49,-669.57,Pago con tarjeta,Tarjeta
2024-06-30,Ingreso,Ingreso extra,288.53,-381.03,Ingreso puntual,Transferencia
2024-07-01,Ingreso,Salario,2442.58,2061.54,Nómina mensual,Transferencia
2024-07-01,Gasto,Alimentación,-18.59,2042.95,Pago con tarjeta,Tarjeta
2024-07-01,Gasto,Alimentación,-15.99,2026.96,Pago con tarjeta,Tarjeta
2024-07-01,Ingreso,Ingreso extra,334.98,2361.94,Ingreso puntual,Transferencia
2024-07-02,Gasto,Otros,-40.07,2321.87,Pago con tarjeta,Tarjeta
2024-07-02,Gasto,Ropa,-33.04,2288.83,Pago con tarjeta,Tarjeta
2024-07-03,Gasto,Alimentación,-16.36,2272.47,Pago con tarjeta,Tarjeta
2024-07-03,Gasto,Ocio,-24.95,2247.52,Pago con tarjeta,Tarjeta
2024-07-04,Gasto,Alimentación,-28.41,2219.11,Pago con tarjeta,Tarjeta
2024-07-05,Gasto,Alquiler,-900.0,1319.11,Cargo Alquiler,Débito
2024-07-05,Gasto,Otros,-55.21,1263.9,Pago con tarjeta,Tarjeta
2024-07-06,Gasto,Alimentación,-33.94,1229.96,Pago con tarjeta,Tarjeta
2024-07-06,Gasto,Transporte,-44.53,1185.43,Pago con tarjeta,Tarjeta
2024-07-06,Gasto,Gasto extraordinario,-593.82,591.62,Compra excepcional,Tarjeta
2024-07-07,Gasto,Préstamo personal,-220.0,371.62,Cargo Préstamo personal,Débito
2024-07-07,Gasto,Alimentación,-50.87,320.74,Pago con tarjeta,Tarjeta
2024-07-08,Gasto,Ropa,-18.41,302.34,Pago con tarjeta,Tarjeta
2024-07-08,Gasto,Alimentación,-13.44,288.9,Pago con tarjeta,Tarjeta
2024-07-08,Ingreso,Ingreso extra,379.59,668.49,Ingreso puntual,Transferencia
2024-07-09,Gasto,Alimentación,-56.63,611.86,Pago con tarjeta,Tarjeta
2024-07-09,Gasto,Otros,-40.52,571.34,Pago con tarjeta,Tarjeta
2024-07-10,Gasto,Transporte,-50.5,520.84,Pago con tarjeta,Tarjeta
2024-07-10,Gasto,Restaurantes,-41.47,479.37,Pago con tarjeta,Tarjeta
2024-07-11,Gasto,Ocio,-32.92,446.45,Pago con tarjeta,Tarjeta
2024-07-12,Gasto,Electricidad,-70.0,376.45,Cargo Electricidad,Débito
2024-07-12,Gasto,Gas,-45.0,331.45,Cargo Gas,Débito
2024-07-12,Gasto,Ropa,-42.25,289.2,Pago con tarjeta,Tarjeta
2024-07-13,Gasto,Transporte,-33.65,255.55,Pago con tarjeta,Tarjeta
2024-07-13,Gasto,Alimentación,-28.97,226.58,Pago con tarjeta,Tarjeta
2024-07-15,Gasto,Internet,-55.0,171.58,Cargo Internet,Débito
2024-07-15,Gasto,Telefonía,-35.0,136.58,Cargo Telefonía,Débito
2024-07-16,Gasto,Salud,-38.09,98.49,Pago con tarjeta,Tarjeta
2024-07-16,Gasto,Restaurantes,-45.71,52.77,Pago con tarjeta,Tarjeta
2024-07-17,Gasto,Otros,-22.76,30.01,Pago con tarjeta,Tarjeta
2024-07-17,Gasto,Restaurantes,-27.96,2.05,Pago con tarjeta,Tarjeta
2024-07-18,Gasto,Seguro,-45.0,-42.95,Cargo Seguro,Débito
2024-07-19,Gasto,Alimentación,-52.43,-95.37,Pago con tarjeta,Tarjeta
2024-07-19,Gasto,Restaurantes,-20.86,-116.23,Pago con tarjeta,Tarjeta
2024-07-20,Gasto,Streaming,-25.0,-141.23,Cargo Streaming,Débito
