fecha,tipo_movimiento,categoria,importe_eur,saldo_post_movimiento,descripcion,canal,mes,dia,alerta,tipo_movimiento_general
2024-01-17,Gasto,Restaurantes,-47.29,2574.6000000000004,Pago con tarjeta,Tarjeta,January,Wednesday,,gasto extraordinario
2024-01-18,Gasto,Seguro,-45.0,2529.6000000000004,Cargo Seguro,Débito,January,Thursday,,fijo
2024-01-18,Gasto,Transporte,-23.37,2506.2300000000005,Pago con tarjeta,Tarjeta,January,Thursday,,gasto recurrente
2024-01-18,Gasto,Alimentación,-26.98,2479.2500000000005,Pago con tarjeta,Tarjeta,January,Thursday,,gasto recurrente
2024-01-19,Gasto,Educación,-24.54,2454.7100000000005,Pago con tarjeta,Tarjeta,January,Friday,,fijo
2024-01-20,Gasto,Streaming,-25.0,2429.7100000000005,Cargo Streaming,Débito,January,Saturday,,fijo
2024-01-20,Gasto,Gasto extraordinario,-379.84,2049.8700000000003,Compra excepcional,Tarjeta,January,Saturday,,gasto extraordinario
2024-01-21,Gasto,Alimentación,-17.59,2032.2800000000002,Pago con tarjeta,Tarjeta,January,Sunday,,gasto recurrente
2024-01-22,Gasto,Otros,-58.05,1974.23,Pago con tarjeta,Tarjeta,January,Monday,,gasto extraordinario
2024-01-22,Gasto,Alimentación,-28.78,1945.4499999999998,Pago con tarjeta,Tarjeta,January,Monday,,gasto recurrente
2024-01-22,Ingreso,Ingreso extra,275.06,2220.5099999999998,Ingreso puntual,Transferencia,January,Monday,,ingreso de dinero
2024-01-23,Gasto,Alimentación,-22.05,2198.4599999999996,Pago con tarjeta,Tarjeta,January,Tuesday,,gasto recurrente
2024-01-23,Gasto,Transporte,-43.4,2155.0599999999995,Pago con tarjeta,Tarjeta,January,Tuesday,,gasto recurrente
2024-01-24,Gasto,Ropa,-20.36,2134.6999999999994,Pago con tarjeta,Tarjeta,January,Wednesday,,gasto extraordinario
2024-01-25,Gasto,Ropa,-49.51,2085.189999999999,Pago con tarjeta,Tarjeta,January,Thursday,,gasto extraordinario
2024-01-28,Gasto,Otros,-15.15,2070.039999999999,Pago con tarjeta,Tarjeta,January,Sunday,,gasto extraordinario
2024-01-30,Gasto,Alimentación,-50.84,2019.199999999999,Pago con tarjeta,Tarjeta,January,Tuesday,,gasto recurrente
2024-01-30,Gasto,Otros,-37.03,1982.1699999999987,Pago con tarjeta,Tarjeta,January,Tuesday,,gasto extraordinario
2024-01-31,Gasto,Educación,-54.13,1928.0399999999986,Pago con tarjeta,Tarjeta,January,Wednesday,,fijo
2024-01-31,Gasto,Ropa,-41.39,1886.6499999999987,Pago con tarjeta,Tarjeta,January,Wednesday,,gasto extraordinario
2024-02-01,Ingreso,Salario,2279.26,4165.909999999999,Nómina mensual,Transferencia,February,Thursday,,ingreso de dinero
2024-02-01,Gasto,Restaurantes,-56.89,4109.019999999999,Pago con tarjeta,Tarjeta,February,Thursday,,gasto extraordinario
2024-02-02,Gasto,Ocio,-19.66,4089.3599999999988,Pago con tarjeta,Tarjeta,February,Friday,,gasto extraordinario
2024-02-03,Gasto,Ocio,-45.49,4043.869999999999,Pago con tarjeta,Tarjeta,February,Saturday,,gasto extraordinario
2024-02-03,Gasto,Alimentación,-30.78,4013.0899999999992,Pago con tarjeta,Tarjeta,February,Saturday,,gasto recurrente
2024-02-04,Gasto,Restaurantes,-54.39,3958.699999999999,Pago con tarjeta,Tarjeta,February,Sunday,,gasto extraordinario
2024-02-04,Gasto,Transporte,-49.33,3909.369999999999,Pago con tarjeta,Tarjeta,February,Sunday,,gasto recurrente
2024-02-05,Gasto,Alquiler,-900.0,3009.369999999999,Cargo Alquiler,Débito,February,Monday,,fijo
2024-02-05,Gasto,Restaurantes,-37.74,2971.629999999999,Pago con tarjeta,Tarjeta,February,Monday,,gasto extraordinario
2024-02-06,Gasto,Educación,-27.25,2944.379999999999,Pago con tarjeta,Tarjeta,February,Tuesday,,fijo
2024-02-06,Gasto,Alimentación,-47.83,2896.5499999999993,Pago con tarjeta,Tarjeta,February,Tuesday,,gasto recurrente
2024-02-07,Gasto,Préstamo personal,-220.0,2676.5499999999993,Cargo Préstamo personal,Débito,February,Wednesday,,fijo
2024-02-08,Gasto,Restaurantes,-28.52,2648.0299999999993,Pago con tarjeta,Tarjeta,February,Thursday,,gasto extraordinario
2024-02-08,Gasto,Salud,-56.36,2591.669999999999,Pago con tarjeta,Tarjeta,February,Thursday,,gasto recurrente
2024-02-08,Gasto,Bizum,-32.98,2558.689999999999,Bizum enviado,Bizum,February,Thursday,,sin definir
2024-02-09,Gasto,Ocio,-44.24,2514.4499999999994,Pago con tarjeta,Tarjeta,February,Friday,,gasto extraordinario
2024-02-09,Gasto,Ocio,-26.69,2487.7599999999993,Pago con tarjeta,Tarjeta,February,Friday,,gasto extraordinario
2024-02-12,Gasto,Electricidad,-70.0,2417.7599999999993,Cargo Electricidad,Débito,February,Monday,,fijo
2024-02-12,Gasto,Gas,-45.0,2372.7599999999993,Cargo Gas,Débito,February,Monday,,fijo
2024-02-13,Gasto,Alimentación,-13.65,2359.109999999999,Pago con tarjeta,Tarjeta,February,Tuesday,,gasto recurrente
2024-02-13,Gasto,Otros,-51.62,2307.4899999999993,Pago con tarjeta,Tarjeta,February,Tuesday,,gasto extraordinario
2024-02-13,Ingreso,Ingreso extra,177.04,2484.5299999999993,Ingreso puntual,Transferencia,February,Tuesday,,ingreso de dinero
2024-02-14,Gasto,Transporte,-48.04,2436.4899999999993,Pago con tarjeta,Tarjeta,February,Wednesday,,gasto recurrente
2024-02-15,Gasto,Internet,-55.0,2381.4899999999993,Cargo Internet,Débito,February,Thursday,,fijo
2024-02-15,Gasto,Telefonía,-35.0,2346.4899999999993,Cargo Telefonía,Débito,February,Thursday,,fijo
2024-02-15,Gasto,Restaurantes,-44.37,2302.1199999999994,Pago con tarjeta,Tarjeta,February,Thursday,,gasto extraordinario
2024-02-15,Gasto,Alimentación,-12.66,2289.4599999999996,Pago con tarjeta,Tarjeta,February,Thursday,,gasto recurrente
2024-02-15,Ingreso,Ingreso extra,207.62,2497.0799999999995,Ingreso puntual,Transferencia,February,Thursday,,ingreso de dinero
2024-02-16,Gasto,Alimentación,-7.92,2489.1599999999994,Pago con tarjeta,Tarjeta,February,Friday,,gasto recurrente
2024-02-16,Gasto,Otros,-51.47,2437.6899999999996,Pago con tarjeta,Tarjeta,February,Friday,,gasto extraordinario
2024-02-17,Gasto,Alimentación,-10.95,2426.74,Pago con tarjeta,Tarjeta,February,Saturday,,gasto recurrente
2024-02-17,Gasto,Alimentación,-48.11,2378.6299999999997,Pago con tarjeta,Tarjeta,February,Saturday,,gasto recurrente
2024-02-18,Gasto,Seguro,-45.0,2333.6299999999997,Cargo Seguro,Débito,February,Sunday,,fijo
2024-02-18,Gasto,Restaurantes,-20.88,2312.7499999999995,Pago con tarjeta,Tarjeta,February,Sunday,,gasto extraordinario
2024-02-18,Ingreso,Ingreso extra,117.14,2429.8899999999994,Ingreso puntual,Transferencia,February,Sunday,,ingreso de dinero
2024-02-19,Gasto,Alimentación,-50.09,2379.7999999999993,Pago con tarjeta,Tarjeta,February,Monday,,gasto recurrente
2024-02-20,Gasto,Streaming,-25.0,2354.7999999999993,Cargo Streaming,Débito,February,Tuesday,,fijo
2024-02-21,Gasto,Transporte,-10.36,2344.439999999999,Pago con tarjeta,Tarjeta,February,Wednesday,,gasto recurrente
2024-02-21,Gasto,Restaurantes,-40.54,2303.899999999999,Pago con tarjeta,Tarjeta,February,Wednesday,,gasto extraordinario
2024-02-22,Gasto,Otros,-57.1,2246.7999999999993,Pago con tarjeta,Tarjeta,February,Thursday,,gasto extraordinario
2024-02-22,Gasto,Salud,-41.09,2205.709999999999,Pago con tarjeta,Tarjeta,February,Thursday,,gasto recurrente
2024-02-23,Gasto,Transporte,-56.96,2148.749999999999,Pago con tarjeta,Tarjeta,February,Friday,,gasto recurrente
2024-02-24,Gasto,Alimentación,-23.48,2125.269999999999,Pago con tarjeta,Tarjeta,February,Saturday,,gasto recurrente
2024-02-24,Ingreso,Bizum,78.01,2203.2799999999993,Bizum recibido,Bizum,February,Saturday,,sin definir
2024-02-25,Gasto,Ropa,-22.66,2180.6199999999994,Pago con tarjeta,Tarjeta,February,Sunday,,gasto extraordinario
2024-02-25,Gasto,Alimentación,-37.6,2143.0199999999995,Pago con tarjeta,Tarjeta,February,Sunday,,gasto recurrente
2024-02-29,Gasto,Ocio,-20.39,2122.6299999999997,Pago con tarjeta,Tarjeta,February,Thursday,,gasto extraordinario
2024-03-01,Ingreso,Salario,2068.25,4190.879999999999,Nómina mensual,Transferencia,March,Friday,,ingreso de dinero
2024-03-01,Gasto,Alimentación,-46.82,4144.0599999999995,Pago con tarjeta,Tarjeta,March,Friday,,gasto recurrente
2024-03-01,Gasto,Alimentación,-20.91,4123.15,Pago con tarjeta,Tarjeta,March,Friday,,gasto recurrente
2024-03-02,Gasto,Alimentación,-33.43,4089.72,Pago con tarjeta,Tarjeta,March,Saturday,,gasto recurrente
2024-03-04,Gasto,Bizum,-91.07,3998.6499999999996,Bizum enviado,Bizum,March,Monday,,sin definir
2024-03-05,Gasto,Alquiler,-900.0,3098.6499999999996,Cargo Alquiler,Débito,March,Tuesday,,fijo
2024-03-05,Gasto,Transporte,-13.26,3085.3899999999994,Pago con tarjeta,Tarjeta,March,Tuesday,,gasto recurrente
2024-03-05,Gasto,Alimentación,-37.78,3047.6099999999997,Pago con tarjeta,Tarjeta,March,Tuesday,,gasto recurrente
2024-03-05,Gasto,Bizum,-100.4,2947.2099999999996,Bizum enviado,Bizum,March,Tuesday,,sin definir
2024-03-07,Gasto,Préstamo personal,-220.0,2727.2099999999996,Cargo Préstamo personal,Débito,March,Thursday,,fijo
2024-03-08,Gasto,Restaurantes,-44.66,2682.5499999999997,Pago con tarjeta,Tarjeta,March,Friday,,gasto extraordinario
2024-03-09,Gasto,Restaurantes,-10.93,2671.62,Pago con tarjeta,Tarjeta,March,Saturday,,gasto extraordinario
2024-03-09,Gasto,Alimentación,-11.99,2659.63,Pago con tarjeta,Tarjeta,March,Saturday,,gasto recurrente
2024-03-11,Gasto,Ropa,-58.85,2600.78,Pago con tarjeta,Tarjeta,March,Monday,,gasto extraordinario
2024-03-11,Gasto,Transporte,-24.78,2576.0,Pago con tarjeta,Tarjeta,March,Monday,,gasto recurrente
2024-03-11,Gasto,Bizum,-111.71,2464.29,Bizum enviado,Bizum,March,Monday,,sin definir
2024-03-12,Gasto,Electricidad,-70.0,2394.29,Cargo Electricidad,Débito,March,Tuesday,,fijo
2024-03-12,Gasto,Gas,-45.0,2349.29,Cargo Gas,Débito,March,Tuesday,,fijo
2024-03-12,Gasto,Transporte,-44.18,2305.11,Pago con tarjeta,Tarjeta,March,Tuesday,,gasto recurrente
2024-03-13,Gasto,Bizum,-40.91,2264.2000000000003,Bizum enviado,Bizum,March,Wednesday,,sin definir
2024-03-14,Gasto,Alimentación,-35.39,2228.8100000000004,Pago con tarjeta,Tarjeta,March,Thursday,,gasto recurrente
2024-03-14,Gasto,Restaurantes,-19.93,2208.8800000000006,Pago con tarjeta,Tarjeta,March,Thursday,,gasto extraordinario
2024-03-15,Gasto,Internet,-55.0,2153.8800000000006,Cargo Internet,Débito,March,Friday,,fijo
2024-03-15,Gasto,Telefonía,-35.0,2118.8800000000006,Cargo Telefonía,Débito,March,Friday,,fijo
2024-03-15,Gasto,Transporte,-24.1,2094.7800000000007,Pago con tarjeta,Tarjeta,March,Friday,,gasto recurrente
2024-03-17,Gasto,Alimentación,-45.55,2049.2300000000005,Pago con tarjeta,Tarjeta,March,Sunday,,gasto recurrente
2024-03-17,Gasto,Transporte,-16.57,2032.6600000000003,Pago con tarjeta,Tarjeta,March,Sunday,,gasto recurrente
2024-03-18,Gasto,Seguro,-45.0,1987.6600000000003,Cargo Seguro,Débito,March,Monday,,fijo
2024-03-19,Ingreso,Ingreso extra,122.83,2110.4900000000002,Ingreso puntual,Transferencia,March,Tuesday,,ingreso de dinero
2024-03-20,Gasto,Streaming,-25.0,2085.4900000000002,Cargo Streaming,Débito,March,Wednesday,,fijo
2024-03-20,Gasto,Salud,-50.27,2035.2200000000003,Pago con tarjeta,Tarjeta,March,Wednesday,,gasto recurrente
2024-03-22,Gasto,Alimentación,-18.95,2016.2700000000004,Pago con tarjeta,Tarjeta,March,Friday,,gasto recurrente
2024-03-22,Gasto,Alimentación,-45.62,1970.6500000000005,Pago con tarjeta,Tarjeta,March,Friday,,gasto recurrente
2024-03-23,Gasto,Transporte,-48.16,1922.4900000000007,Pago con tarjeta,Tarjeta,March,Saturday,,gasto recurrente
2024-03-23,Gasto,Transporte,-52.31,1870.1800000000007,Pago con tarjeta,Tarjeta,March,Saturday,,gasto recurrente
2024-03-24,Gasto,Restaurantes,-29.87,1840.3100000000009,Pago con tarjeta,Tarjeta,March,Sunday,,gasto extraordinario
2024-03-24,Gasto,Ropa,-41.25,1799.0600000000009,Pago con tarjeta,Tarjeta,March,Sunday,,gasto extraordinario
2024-03-26,Gasto,Alimentación,-29.52,1769.5400000000009,Pago con tarjeta,Tarjeta,March,Tuesday,,gasto recurrente
2024-03-26,Gasto,Ropa,-28.62,1740.920000000001,Pago con tarjeta,Tarjeta,March,Tuesday,,gasto extraordinario
2024-03-27,Gasto,Salud,-47.98,1692.940000000001,Pago con tarjeta,Tarjeta,March,Wednesday,,gasto recurrente
2024-03-27,Gasto,Alimentación,-8.82,1684.1200000000008,Pago con tarjeta,Tarjeta,March,Wednesday,,gasto recurrente
2024-03-28,Gasto,Alimentación,-12.5,1671.6200000000008,Pago con tarjeta,Tarjeta,March,Thursday,,gasto recurrente
2024-03-29,Gasto,Ocio,-29.41,1642.210000000001,Pago con tarjeta,Tarjeta,March,Friday,,gasto extraordinario
2024-03-29,Gasto,Salud,-34.79,1607.420000000001,Pago con tarjeta,Tarjeta,March,Friday,,gasto recurrente
2024-03-30,Ingreso,Ingreso extra,255.59,1863.0100000000011,Ingreso puntual,Transferencia,March,Saturday,,ingreso de dinero
2024-03-31,Gasto,Alimentación,-22.9,1840.110000000001,Pago con tarjeta,Tarjeta,March,Sunday,,gasto recurrente
2024-03-31,Gasto,Transporte,-43.9,1796.210000000001,Pago con tarjeta,Tarjeta,March,Sunday,,gasto recurrente
2024-03-31,Gasto,Bizum,-97.94,1698.270000000001,Bizum enviado,Bizum,March,Sunday,,sin definir
2024-04-01,Ingreso,Salario,2173.59,3871.860000000001,Nómina mensual,Transferencia,April,Monday,,ingreso de dinero
2024-04-01,Gasto,Bizum,-40.46,3831.400000000001,Bizum enviado,Bizum,April,Monday,,sin definir
2024-04-02,Gasto,Otros,-20.28,3811.120000000001,Pago con tarjeta,Tarjeta,April,Tuesday,,gasto extraordinario
2024-04-03,Gasto,Alimentación,-38.33,3772.790000000001,Pago con tarjeta,Tarjeta,April,Wednesday,,gasto recurrente
2024-04-04,Gasto,Restaurantes,-28.65,3744.1400000000012,Pago con tarjeta,Tarjeta,April,Thursday,,gasto extraordinario
2024-04-04,Gasto,Alimentación,-39.4,3704.7400000000007,Pago con tarjeta,Tarjeta,April,Thursday,,gasto recurrente
2024-04-05,Gasto,Alquiler,-900.0,2804.7400000000007,Cargo Alquiler,Débito,April,Friday,,fijo
2024-04-05,Gasto,Alimentación,-46.16,2758.580000000001,Pago con tarjeta,Tarjeta,April,Friday,,gasto recurrente
2024-04-05,Gasto,Transporte,-43.31,2715.270000000001,Pago con tarjeta,Tarjeta,April,Friday,,gasto recurrente
2024-04-06,Gasto,Transporte,-38.5,2676.770000000001,Pago con tarjeta,Tarjeta,April,Saturday,,gasto recurrente
2024-04-06,Gasto,Transporte,-27.7,2649.070000000001,Pago con tarjeta,Tarjeta,April,Saturday,,gasto recurrente
2024-04-07,Gasto,Préstamo personal,-220.0,2429.070000000001,Cargo Préstamo personal,Débito,April,Sunday,,fijo
2024-04-07,Gasto,Otros,-39.5,2389.570000000001,Pago con tarjeta,Tarjeta,April,Sunday,,gasto extraordinario
2024-04-08,Gasto,Salud,-12.57,2377.000000000001,Pago con tarjeta,Tarjeta,April,Monday,,gasto recurrente
2024-04-08,Gasto,Ropa,-10.89,2366.110000000001,Pago con tarjeta,Tarjeta,April,Monday,,gasto extraordinario
2024-04-08,Ingreso,Ingreso extra,303.03,2669.1400000000012,Ingreso puntual,Transferencia,April,Monday,,ingreso de dinero
2024-04-10,Gasto,Alimentación,-14.36,2654.780000000001,Pago con tarjeta,Tarjeta,April,Wednesday,,gasto recurrente
2024-04-10,Gasto,Ocio,-56.33,2598.450000000001,Pago con tarjeta,Tarjeta,April,Wednesday,,gasto extraordinario
2024-04-12,Gasto,Electricidad,-70.0,2528.450000000001,Cargo Electricidad,Débito,April,Friday,,fijo
2024-04-12,Gasto,Gas,-45.0,2483.450000000001,Cargo Gas,Débito,April,Friday,,fijo
2024-04-12,Gasto,Transporte,-44.78,2438.670000000001,Pago con tarjeta,Tarjeta,April,Friday,,gasto recurrente
2024-04-14,Gasto,Alimentación,-50.56,2388.110000000001,Pago con tarjeta,Tarjeta,April,Sunday,,gasto recurrente
2024-04-15,Gasto,Internet,-55.0,2333.110000000001,Cargo Internet,Débito,April,Monday,,fijo
2024-04-15,Gasto,Telefonía,-35.0,2298.110000000001,Cargo Telefonía,Débito,April,Monday,,fijo
2024-04-15,Gasto,Alimentación,-27.71,2270.400000000001,Pago con tarjeta,Tarjeta,April,Monday,,gasto recurrente
2024-04-18,Gasto,Seguro,-45.0,2225.400000000001,Cargo Seguro,Débito,April,Thursday,,fijo
2024-04-18,Gasto,Salud,-15.27,2210.130000000001,Pago con tarjeta,Tarjeta,April,Thursday,,gasto recurrente
2024-04-18,Gasto,Ropa,-18.48,2191.650000000001,Pago con tarjeta,Tarjeta,April,Thursday,,gasto extraordinario
2024-04-19,Gasto,Educación,-24.44,2167.210000000001,Pago con tarjeta,Tarjeta,April,Friday,,fijo
2024-04-19,Gasto,Transporte,-43.52,2123.690000000001,Pago con tarjeta,Tarjeta,April,Friday,,gasto recurrente
2024-04-20,Gasto,Streaming,-25.0,2098.690000000001,Cargo Streaming,Débito,April,Saturday,,fijo
2024-04-20,Gasto,Ocio,-34.14,2064.550000000001,Pago con tarjeta,Tarjeta,April,Saturday,,gasto extraordinario
2024-04-21,Gasto,Alimentación,-30.8,2033.750000000001,Pago con tarjeta,Tarjeta,April,Sunday,,gasto recurrente
2024-04-21,Gasto,Restaurantes,-25.31,2008.440000000001,Pago con tarjeta,Tarjeta,April,Sunday,,gasto extraordinario
2024-04-24,Gasto,Transporte,-47.65,1960.7900000000009,Pago con tarjeta,Tarjeta,April,Wednesday,,gasto recurrente
2024-04-24,Gasto,Salud,-25.79,1935.000000000001,Pago con tarjeta,Tarjeta,April,Wednesday,,gasto recurrente
2024-04-25,Gasto,Transporte,-36.07,1898.9300000000007,Pago con tarjeta,Tarjeta,April,Thursday,,gasto recurrente
2024-04-25,Gasto,Restaurantes,-29.27,1869.6600000000008,Pago con tarjeta,Tarjeta,April,Thursday,,gasto extraordinario
2024-04-25,Gasto,Gasto extraordinario,-419.3,1450.3600000000006,Compra excepcional,Tarjeta,April,Thursday,Saldo negativo,gasto extraordinario
2024-04-26,Gasto,Alimentación,-14.82,1435.5400000000004,Pago con tarjeta,Tarjeta,April,Friday,Saldo negativo,gasto recurrente
2024-04-27,Gasto,Transporte,-55.42,1380.1200000000003,Pago con tarjeta,Tarjeta,April,Saturday,Saldo negativo,gasto recurrente
2024-04-27,Gasto,Alimentación,-11.25,1368.8700000000003,Pago con tarjeta,Tarjeta,April,Saturday,Saldo negativo,gasto recurrente
2024-04-28,Gasto,Ocio,-55.97,1312.9000000000005,Pago con tarjeta,Tarjeta,April,Sunday,Saldo negativo,gasto extraordinario
2024-04-28,Gasto,Ocio,-15.93,1296.9700000000007,Pago con tarjeta,Tarjeta,April,Sunday,Saldo negativo,gasto extraordinario
2024-04-29,Gasto,Salud,-55.36,1241.6100000000006,Pago con tarjeta,Tarjeta,April,Monday,Saldo negativo,gasto recurrente
2024-04-29,Gasto,Alimentación,-17.23,1224.3800000000006,Pago con tarjeta,Tarjeta,April,Monday,Saldo negativo,gasto recurrente
2024-04-30,Gasto,Transporte,-38.75,1185.6300000000006,Pago con tarjeta,Tarjeta,April,Tuesday,Saldo negativo,gasto recurrente
2024-04-30,Gasto,Restaurantes,-10.85,1174.7800000000007,Pago con tarjeta,Tarjeta,April,Tuesday,Saldo negativo,gasto extraordinario
2024-04-30,Ingreso,Ingreso extra,186.72,1361.5000000000005,Ingreso puntual,Transferencia,April,Tuesday,Saldo negativo,ingreso de dinero
2024-05-01,Ingreso,Salario,2427.84,3789.3400000000006,Nómina mensual,Transferencia,May,Wednesday,,ingreso de dinero
2024-05-02,Gasto,Alimentación,-47.14,3742.2000000000007,Pago con tarjeta,Tarjeta,May,Thursday,,gasto recurrente
2024-05-03,Gasto,Restaurantes,-38.19,3704.01,Pago con tarjeta,Tarjeta,May,Friday,,gasto extraordinario
2024-05-03,Gasto,Gasto extraordinario,-448.59,3255.4200000000005,Compra excepcional,Tarjeta,May,Friday,,gasto extraordinario
2024-05-05,Gasto,Alquiler,-900.0,2355.4200000000005,Cargo Alquiler,Débito,May,Sunday,,fijo
2024-05-06,Gasto,Ropa,-26.17,2329.2500000000005,Pago con tarjeta,Tarjeta,May,Monday,,gasto extraordinario
2024-05-07,Gasto,Préstamo personal,-220.0,2109.2500000000005,Cargo Préstamo personal,Débito,May,Tuesday,,fijo
2024-05-08,Gasto,Restaurantes,-28.84,2080.4100000000003,Pago con tarjeta,Tarjeta,May,Wednesday,,gasto extraordinario
2024-05-08,Gasto,Transporte,-16.07,2064.34,Pago con tarjeta,Tarjeta,May,Wednesday,,gasto recurrente
2024-05-09,Gasto,Educación,-35.38,2028.96,Pago con tarjeta,Tarjeta,May,Thursday,,fijo
2024-05-09,Gasto,Ropa,-58.9,1970.06,Pago con tarjeta,Tarjeta,May,Thursday,Saldo negativo,gasto extraordinario
2024-05-10,Gasto,Alimentación,-36.5,1933.56,Pago con tarjeta,Tarjeta,May,Friday,Saldo negativo,gasto recurrente
2024-05-10,Gasto,Bizum,-21.45,1912.1100000000001,Bizum enviado,Bizum,May,Friday,Saldo negativo,sin definir
2024-05-11,Gasto,Ropa,-59.41,1852.7000000000003,Pago con tarjeta,Tarjeta,May,Saturday,Saldo negativo,gasto extraordinario
2024-05-11,Gasto,Transporte,-49.96,1802.7400000000002,Pago con tarjeta,Tarjeta,May,Saturday,Saldo negativo,gasto recurrente
2024-05-12,Gasto,Electricidad,-70.0,1732.7400000000002,Cargo Electricidad,Débito,May,Sunday,Saldo negativo,fijo
2024-05-12,Gasto,Gas,-45.0,1687.7400000000002,Cargo Gas,Débito,May,Sunday,Saldo negativo,fijo
2024-05-12,Gasto,Educación,-8.68,1679.0600000000004,Pago con tarjeta,Tarjeta,May,Sunday,Saldo negativo,fijo
2024-05-12,Ingreso,Ingreso extra,138.06,1817.1200000000003,Ingreso puntual,Transferencia,May,Sunday,Saldo negativo,ingreso de dinero
2024-05-13,Gasto,Ocio,-55.35,1761.7700000000004,Pago con tarjeta,Tarjeta,May,Monday,Saldo negativo,gasto extraordinario
2024-05-13,Gasto,Transporte,-25.47,1736.3000000000006,Pago con tarjeta,Tarjeta,May,Monday,Saldo negativo,gasto recurrente
2024-05-13,Ingreso,Ingreso extra,345.81,2082.1100000000006,Ingreso puntual,Transferencia,May,Monday,,ingreso de dinero
2024-05-14,Gasto,Transporte,-30.68,2051.4300000000007,Pago con tarjeta,Tarjeta,May,Tuesday,,gasto recurrente
2024-05-14,Gasto,Alimentación,-48.72,2002.710000000001,Pago con tarjeta,Tarjeta,May,Tuesday,Saldo negativo,gasto recurrente
2024-05-15,Gasto,Internet,-55.0,1947.710000000001,Cargo Internet,Débito,May,Wednesday,Saldo negativo,fijo
2024-05-15,Gasto,Telefonía,-35.0,1912.710000000001,Cargo Telefonía,Débito,May,Wednesday,Saldo negativo,fijo
2024-05-15,Gasto,Restaurantes,-17.47,1895.2400000000011,Pago con tarjeta,Tarjeta,May,Wednesday,Saldo negativo,gasto extraordinario
2024-05-15,Gasto,Restaurantes,-34.65,1860.590000000001,Pago con tarjeta,Tarjeta,May,Wednesday,Saldo negativo,gasto extraordinario
2024-05-16,Gasto,Salud,-59.19,1801.400000000001,Pago con tarjeta,Tarjeta,May,Thursday,Saldo negativo,gasto recurrente
2024-05-16,Gasto,Transporte,-16.93,1784.4700000000012,Pago con tarjeta,Tarjeta,May,Thursday,Saldo negativo,gasto recurrente
2024-05-17,Gasto,Restaurantes,-11.49,1772.9800000000014,Pago con tarjeta,Tarjeta,May,Friday,Saldo negativo,gasto extraordinario
2024-05-17,Gasto,Restaurantes,-33.87,1739.1100000000015,Pago con tarjeta,Tarjeta,May,Friday,Saldo negativo,gasto extraordinario
